id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
400928,Gifted,"Drama,Comedy",en,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",51.986,2017-04-12,8.1,4444
634649,Spider-Man: No Way Home,"Action,Adventure,Science Fiction",en,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",1713.86,2021-12-15,8.1,14327
110416,Song of the Sea,"Family,Animation,Fantasy",en,"The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother’s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival.",10.578,2014-09-06,8.0,1131
776503,CODA,"Drama,Music,Romance",en,"As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",46.461,2021-08-11,8.0,1423
641,Requiem for a Dream,"Crime,Drama",en,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.,14.696,2000-10-06,8.0,8213
14,American Beauty,Drama,en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",20.94,1999-09-15,8.0,10357
106646,The Wolf of Wall Street,"Crime,Drama,Comedy",en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",182.109,2013-12-25,8.0,20064
673,Harry Potter and the Prisoner of Azkaban,"Adventure,Fantasy",en,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",269.516,2004-05-31,8.0,18178
424694,Bohemian Rhapsody,"Music,Drama,History",en,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",79.323,2018-10-24,8.0,14853
205596,The Imitation Game,"History,Drama,Thriller,War",en,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",79.903,2014-11-14,8.0,14808
524,Casino,"Crime,Drama",en,"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",20.493,1995-11-22,8.0,4582
